district,address,longitude,latitude,total_price,unit_price,
內湖區,臺北市內湖區民權東路六段301號,121.591359,25.06955,75000,515,
中山區,臺北市中山區明水路397巷7弄31號,121.549431,25.078108,77000,359,
中山區,臺北市中山區明水路475巷1號,121.551401,25.078056,47000,514,
中山區,臺北市中山區松江路1號,121.533292,25.045879,50000,516,
信義區,臺北市信義區信義路四段391號,121.558401,25.033267,72000,817,
萬華區,臺北市萬華區中華路一段114巷1號,121.508263,25.043933,70000,1811,
大安區,臺北市大安區樂利路61號,121.551935,25.026399,51000,874,
信義區,臺北市信義區松信路31號,121.572315,25.048244,46000,350,
中山區,臺北市中山區長春路361號,121.54566,25.054658,75000,977,
信義區,臺北市信義區忠孝東路四段553巷22弄1號,121.563139,25.043385,47000,538,
大安區,臺北市大安區復興南路一段121號,121.543992,25.043399,330000,2025,
萬華區,臺北市萬華區萬大路61號,121.500697,25.031041,32000,328,
中山區,臺北市中山區農安街1號,121.523127,25.065154,63000,419,
中正區,臺北市中正區武昌街一段1號,121.513783,25.044146,55000,475,
中正區,臺北市中正區忠孝西路一段61號,121.514246,25.047011,35000,1530,
大安區,臺北市大安區忠孝東路四段331號,121.556998,25.041567,350000,2365,
士林區,臺北市士林區文林路751號,121.519444,25.10279,36000,324,
大安區,臺北市大安區復興南路一段61號,121.544077,25.044586,160000,1946,
士林區,臺北市士林區中正路181號,121.52744,25.095504,150000,1453,
士林區,臺北市士林區德行東路241號,121.534007,25.109786,80000,665,
士林區,臺北市士林區天母北路1號,121.526325,25.118868,140000,462,
中正區,臺北市中正區杭州南路一段121號,121.524958,25.036957,33000,852,
中正區,臺北市中正區泉州街1號,121.513883,25.031147,27000,512,
北投區,臺北市北投區天母西路121號,121.523334,25.11901,30000,610,
文山區,臺北市文山區景後街151號,121.541875,24.990032,50000,351,
中山區,臺北市中山區天津街31號,121.522691,25.048795,34056,1005,
北投區,臺北市北投區自強街61號,121.514067,25.110574,160000,482,
中正區,臺北市中正區羅斯福路二段151號,121.520401,25.029797,120000,500,
中山區,臺北市中山區北安路554巷31號,121.549488,25.080118,115000,795,
信義區,臺北市信義區松仁路241號,121.568913,25.0259,28000,604,
文山區,臺北市文山區興隆路二段203巷31號,121.547954,25.002092,27000,307,
北投區,臺北市北投區光明路211號,121.503634,25.136294,38000,504,
大安區,臺北市大安區敦化南路一段271號,121.549196,25.036196,120000,1100,
大安區,臺北市大安區信義路三段91號,121.538388,25.033758,95000,596,
大安區,臺北市大安區復興南路二段210巷31號,121.543026,25.02662,130000,531,
大安區,臺北市大安區大安路一段101巷1號,121.546341,25.040259,350000,1808,
北投區,臺北市北投區關渡路61號,121.469362,25.119643,32400,341,
松山區,臺北市松山區南京東路四段121號,121.5549,25.051811,350000,2373,
