location,villiage,MRT_min_distance,MRT_count_500,MRT_count_1000,mall_distance500,mall_distance1000,school_distance500,school_distance1000,school_distance1500,spot_distance_1000,spot_distance_2000,spot_distance_3000,spot_distance_4000,spot_distance_5000,pop_total,male_ratio,female_ratio,pop_density,average_age,pop_20_59,pop_ratio_20_59,pop_ratio_0_4,pop_ratio_5_9,pop_ratio_10_14,pop_ratio_15_19,pop_ratio_20_24,pop_ratio_25_29,pop_ratio_30_34,pop_ratio_35_39,pop_ratio_40_44,pop_ratio_45_49,pop_ratio_50_54,pop_ratio_55_59,pop_ratio_60_64,pop_ratio_65_69,pop_ratio_70_74,pop_ratio_75_79,pop_ratio_80_84,pop_ratio_85_89,pop_ratio_90_94,pop_ratio_95_99,pop_ratio_100_up,doctorate,master,bachelor,high_school,junior_high_school,elementary_school,self-taught,illiterate,median_income,buying_power_index,index_of_retail_saturation,rental_cost,success
迷客夏永吉店,,0.6,0,2,1,12,0,4,8,2,10,12,14,17,5210,0.461612284,0.538387716,47233.80403,43.54012933,3096,0.588817041,0.048497528,0.039748954,0.03157094,0.035184481,0.048497528,0.055154051,0.068276911,0.095283378,0.095283378,0.074362876,0.080258653,0.071700266,0.06675542,0.065804488,0.049448459,0.030620008,0.023773298,0.012171928,0.005135032,0.001901864,0.000570559,0.017502161,0.151469317,0.531331029,0.194900605,0.052290406,0.049049265,0.001296456,0.002160761,753,0.087254353,704280209.3,779.3333333,1
迷客夏西湖店,,0.4,1,1,0,1,1,3,5,0,3,3,3,12,7095,0.485412262,0.514587738,15884.19559,43.18410214,4349,0.597062054,0.052169138,0.031987919,0.018259198,0.036518396,0.053679297,0.069055464,0.07660626,0.115595826,0.07907743,0.059719934,0.064799561,0.078528281,0.090334981,0.080175728,0.038852279,0.02210324,0.01523888,0.011669412,0.004393191,0.001235585,0,0.01009483,0.109207709,0.491740593,0.236616702,0.066992964,0.079687978,0.001223616,0.004435607,679,0.106293179,1025555594,465,1
迷客夏康寧店,,0.6,0,2,0,1,5,8,8,0,3,2,6,9,8036,0.478222997,0.521777003,36757.2625,42.15130775,4852,0.593009044,0.051821071,0.038010266,0.026766072,0.043265705,0.056465412,0.069909558,0.080664874,0.094475678,0.080175996,0.059276461,0.070153997,0.081887069,0.083598142,0.075898313,0.037765827,0.020777316,0.013810804,0.008799804,0.004644341,0.001711073,0.00012222,0.009269507,0.10320974,0.502905368,0.24031544,0.070005534,0.068760376,0.001106807,0.004427227,711,0.106293179,1025555594,657.3333333,1
迷客夏東湖店,,0.5,1,3,0,0,1,4,4,0,1,1,1,4,11642,0.475176087,0.524823913,37257.86586,36.03169371,6897,0.582910751,0.061528059,0.079783638,0.069050034,0.056541582,0.056457066,0.056372549,0.069810683,0.099983097,0.102772143,0.075980392,0.062964841,0.05856998,0.057724814,0.038370521,0.020368492,0.014959432,0.010649087,0.005240027,0.002281947,0.000591616,0,0.005137536,0.08658889,0.469763459,0.279674623,0.078454458,0.075671626,0.001284384,0.003425024,722,0.106293179,1025555594,515,1
迷客夏瑞光店,,1.8,0,0,0,1,1,3,6,0,1,3,7,14,5477,0.485849918,0.514150082,2348.668834,41.4472326,3254,0.579106603,0.054280121,0.041822388,0.031678235,0.045203773,0.05214451,0.071187044,0.087738032,0.100373732,0.071720947,0.061754761,0.058729311,0.075458267,0.087915999,0.079729489,0.033635878,0.019042534,0.011745862,0.009076348,0.005872931,0.000355935,0.000533903,0.00877372,0.117527035,0.517649459,0.234441951,0.057131198,0.059783718,0.00122424,0.00346868,761,0.106293179,1025555594,485,1
迷客夏港墘店,,0.5,1,1,0,0,1,3,8,0,2,3,6,12,6289,0.470504055,0.529495945,8848.657247,40.96538763,3707,0.580579483,0.036805012,0.045732185,0.061550509,0.051213782,0.053719655,0.065309319,0.070790916,0.080031323,0.087235709,0.07220047,0.076115897,0.075176194,0.083007048,0.060767424,0.033202819,0.0192639,0.014252153,0.007674236,0.004698512,0.000939702,0.000313234,0.010247027,0.121134492,0.51747484,0.225434584,0.055809698,0.06294602,0.00073193,0.006221409,755,0.106293179,1025555594,539,1
迷客夏和碩店,,0.8,0,2,0,0,0,1,2,0,3,3,3,7,7581,0.485951721,0.514048279,2792.850838,40.83493405,4695,0.601229351,0.050582661,0.043411448,0.043923678,0.046612883,0.057753874,0.065565373,0.072992701,0.097323601,0.082340889,0.079395569,0.071712127,0.074145217,0.069022922,0.058138046,0.030221539,0.02484313,0.015622999,0.01024459,0.00537841,0.000640287,0.000128057,0.009506833,0.085561497,0.434640523,0.262774807,0.094622698,0.102198455,0.002525253,0.008169935,680,0.089723852,1095531712,505.3333333,1
迷客夏北投店,,0.7,0,2,0,0,2,9,10,4,5,5,5,8,8487,0.481913515,0.518086485,42165.83243,42.50017291,5153,0.594005764,0.048299712,0.040461095,0.031008646,0.044610951,0.059365994,0.064207493,0.066974063,0.090489914,0.078501441,0.075504323,0.080115274,0.078847262,0.070086455,0.07054755,0.035158501,0.02870317,0.01925072,0.011757925,0.004841499,0.001268012,0,0.010607648,0.092980618,0.445128339,0.256155055,0.091671032,0.095730749,0.001964379,0.005762179,669,0.089723852,1095531712,387.3333333,1
迷客夏石牌店,,0.7,0,2,0,0,0,5,5,0,0,4,10,10,7745,0.471659135,0.528340865,27664.33841,43.11882323,4288,0.546102904,0.043046358,0.04686704,0.045593479,0.044701987,0.054126337,0.053616913,0.061767702,0.083927662,0.083418237,0.075904228,0.067116658,0.066225166,0.071701477,0.075904228,0.050687723,0.035277636,0.018976057,0.012098828,0.007004585,0.001528273,0.000509424,0.015763111,0.115497938,0.505892752,0.228491456,0.057896288,0.071744255,0.001915144,0.002799057,781,0.089723852,1095531712,619.3333333,1
迷客夏昆陽店,,0.2,1,1,0,0,2,3,3,0,3,3,9,12,3695,0.473342355,0.526657645,2496.049079,43.12138114,2207,0.586188579,0.046480744,0.034794157,0.034528552,0.040371846,0.050730412,0.070916335,0.071447543,0.095883134,0.084196547,0.067197875,0.065073041,0.080743692,0.074900398,0.067729084,0.049667995,0.022841965,0.021779548,0.012217795,0.005312085,0.002921647,0.000265604,0.008711325,0.096124962,0.460198258,0.253529588,0.078401922,0.094022229,0.003304296,0.00570742,672,0.041726568,681187333.8,459.6666667,1
