區域別,里名,人口密度
臺北市中正區,富水里,8853.11326
臺北市中正區,文盛里,24761.89254
臺北市中正區,林興里,11857.84624
臺北市中正區,河堤里,29428.51759
臺北市中正區,頂東里,50210.19128
臺北市中正區,網溪里,35033.78731
臺北市中正區,板溪里,35576.50555
臺北市中正區,螢圃里,48855.94101
臺北市中正區,螢雪里,19063.77846
臺北市中正區,永功里,44695.99276
臺北市中正區,永昌里,50594.59262
臺北市中正區,龍興里,50293.03904
臺北市中正區,忠勤里,61833.22489
臺北市中正區,廈安里,51409.02373
臺北市中正區,愛國里,42383.43776
臺北市中正區,南門里,8949.935223
臺北市中正區,龍光里,21943.73494
臺北市中正區,南福里,50027.55451
臺北市中正區,龍福里,25709.16284
臺北市中正區,新營里,63598.23455
臺北市中正區,建國里,3006.066334
臺北市中正區,光復里,13204.0634
臺北市中正區,黎明里,5667.284767
臺北市中正區,梅花里,7025.961631
臺北市中正區,幸福里,19755.87497
臺北市中正區,幸市里,26866.1357
臺北市中正區,東門里,5299.603846
臺北市中正區,文北里,33451.39708
臺北市中正區,文祥里,70391.16805
臺北市中正區,三愛里,41441.42195
臺北市大同區,玉泉里,8958.401084
臺北市大同區,建明里,21907.82621
臺北市大同區,建功里,39171.1451
臺北市大同區,建泰里,29503.60935
臺北市大同區,永樂里,23902.47492
臺北市大同區,朝陽里,43255.96377
臺北市大同區,星明里,40273.9379
臺北市大同區,光能里,42189.91055
臺北市大同區,大有里,22809.34834
臺北市大同區,延平里,46161.94587
臺北市大同區,雙連里,45712.42139
臺北市大同區,南芳里,19060.0265
臺北市大同區,民權里,30994.07101
臺北市大同區,景星里,24602.66408
臺北市大同區,隆和里,27794.61838
臺北市大同區,蓬萊里,30080.57968
臺北市大同區,國順里,20798.23655
臺北市大同區,國慶里,40897.6622
臺北市大同區,揚雅里,67101.27653
臺北市大同區,斯文里,42793.23177
臺北市大同區,鄰江里,28338.33589
臺北市大同區,至聖里,32690.63772
臺北市大同區,老師里,10423.20757
臺北市大同區,重慶里,16524.36802
臺北市大同區,保安里,21871.30684
臺北市萬華區,福星里,22434.57211
臺北市萬華區,萬壽里,19739.80651
臺北市萬華區,西門里,26275.98299
臺北市萬華區,新起里,52267.04627
臺北市萬華區,菜園里,20053.70782
臺北市萬華區,青山里,17794.60689
臺北市萬華區,富民里,43024.49055
臺北市萬華區,福音里,35247.73674
臺北市萬華區,仁德里,42316.79925
臺北市萬華區,富福里,31167.61313
臺北市萬華區,頂碩里,43450.30712
臺北市萬華區,雙園里,26049.52167
臺北市萬華區,新忠里,76628.07646
臺北市萬華區,新和里,74846.90197
臺北市萬華區,糖?里,35866.15386
臺北市萬華區,和平里,47551.43884
臺北市萬華區,綠堤里,24787.72453
臺北市萬華區,華江里,14984.96082
臺北市萬華區,柳鄉里,7371.46903
臺北市萬華區,日善里,21386.2334
臺北市萬華區,新安里,61052.34944
臺北市萬華區,忠德里,53764.23265
臺北市萬華區,孝德里,34403.51139
臺北市萬華區,和德里,28550.39926
臺北市萬華區,錦德里,38686.23318
臺北市萬華區,全德里,40334.7509
臺北市萬華區,保德里,46581.96307
臺北市萬華區,銘德里,33890.27023
臺北市萬華區,榮德里,20946.90668
臺北市萬華區,壽德里,59645.52256
臺北市萬華區,興德里,7335.027888
臺北市萬華區,華中里,9752.259285
臺北市萬華區,日祥里,32188.16062
臺北市萬華區,忠貞里,94725.41912
臺北市萬華區,凌霄里,115701.3438
臺北市萬華區,騰雲里,15032.22608
臺北市文山區,景行里,47580.60477
臺北市文山區,景東里,28336.45204
臺北市文山區,景美里,25181.88024
臺北市文山區,景慶里,17518.19516
臺北市文山區,景仁里,22926.98528
臺北市文山區,景華里,33784.23686
臺北市文山區,萬有里,35451.52199
臺北市文山區,萬祥里,45046.93553
臺北市文山區,萬隆里,59578.5153
臺北市文山區,萬年里,15906.21772
臺北市文山區,萬和里,10459.1551
臺北市文山區,萬盛里,13302.21151
臺北市文山區,興豐里,28723.12887
臺北市文山區,興光里,9531.773098
臺北市文山區,興家里,47635.93104
臺北市文山區,興得里,9519.043659
臺北市文山區,興業里,42339.13332
臺北市文山區,興安里,29752.96862
臺北市文山區,興福里,50530.31006
臺北市文山區,興旺里,18373.49774
臺北市文山區,興泰里,8974.644775
臺北市文山區,興昌里,11820.10743
臺北市文山區,試院里,16219.30262
臺北市文山區,華興里,14619.99182
臺北市文山區,明義里,22040.99999
臺北市文山區,明興里,33082.00338
臺北市文山區,木柵里,16217.94594
臺北市文山區,木新里,31967.14737
臺北市文山區,順興里,50624.71946
臺北市文山區,樟林里,35534.04902
臺北市文山區,樟新里,30209.83149
臺北市文山區,樟腳里,31995.65508
